	sentiment	comment
33	positive	"Все выше перечисленные недостатки это скорее придирки, но о них, как мне кажется, нужно знать. Так же хотел бы сказать, что такие фишки, как 2-ая широкоугольная камера и Hi-fi режим, по большому счету бесполезны. Качество широкоугольной камеры сильно уступает качеству основной камеры и пользуюсь я ей довольно редко, а если быть честным, то побаловался, и перестал пользоваться вообще. Hi-fi - тема для гурманов, но в (!) обычных (!) наушниках разницы вообще нету (совсем никакой), как в качестве звука, так и в его громкости. Как мне кажется, простым людям больше бы пригодилась функция беспроводной зарядки. 
По поводу процессора: 820-ого хватает абсолютно на все, даже на тяжелые игры. Но тут ключевой факт в том, что большенство тяжелых игр на андроиде (субъективно) хрень, и играть в них неудобно/неинтересно. Поэтому я бы порекомендовал не покупать подобные телефоны за такую сумму денег, т.к. большая часть мощности аппарата простаивает. Единственное, что по большому счету отличает LG G6 от того же Honor 8 это камера -она здесь лучше. Но в остальном это такой-же телефон, а качество снимков того же Honor 8 вполне достойное, а у OnePlus 3 почти такое же, как и у LG. 
Влагозащита это хорошо, но что ее не было, что она есть, одинаково нет желания промыть телефон под струей воды или бросить его в унитаз. Плавать с ним как-то тоже не тянет, даже зная о его защищенности.
Быстрая зарядка для меня оказалась сомнительным плюсом т.к. заряжается телефон не за 15-20 минут, а сильной разницы между обычной зарядкой и быстрой в повседневном использовании я не заметил. Хватает зарядки ровно на день использования.
И помните, это всего-лишь мои мысли, но я надеюсь, что они помогут вам определиться, действительно ли вам нужен такой телефон. Я считаю, что единственное, за что вы переплачиваете 20-30 тысяч, так это за немного лучшую камеру, интересный дизайн и условную ""защиту""."
34	positive	В первую очередь отмечу камеру, фотки живописные получаются. Есть ручные настройки и я с легкостью сама настраиваю балланс белого сама фокусирую там, где нужно. Есть режим специально для инстаграмма, фотка квадратная изначально, не нужно потом обрезать. Коллажи прикольные можно делать, совмещать две фотки в одно, т.е. к примеру,  чье-то лицо и чьи-то  ноги совместить)) Замедленная съемка прикольная, можно еще 50сек клипы снимать. Коротко говоря,  камере уделили большое место. Удобный плеер музыкальный, музыка играет очень громко, в наушниках слушать кайф. В бассейне плавала с ним, делала фотки под водой, как экшн камера в принципе, потом отряхнула, просушила и все. Купила еще флип кейс, удобный очень, экран просвечивается на чехол, видны все оповещения.
35	positive	- Много раз выпадал при беге и ни разу не разбился. Уникальный смартфон по надежности. При ярком свете дисплей виден четко, а сам аппарат не нагревается, что тоже очень важно. Батареи хватает при интенсивном использовании на сутки. Заряжается очень быстро, за полчаса уже 50 процентов. Видео и фотографии получаются тоже отличные. Ни разу не пожалел, что взял данный аппарат.
36	positive	Шикарный аппарат, до этого пользовался S7 edge, так вот на G6-ом камера снимает лучше, благодаря четырехканальному ЦАП 32-х битному звук просто отличный, да и по прочности выигрывает. Благодаря стандарту Долби Вижон и HDR 10 снимает и воспроизводит тоже лучше, чем мой предыдущий  самсунг.
37	positive	Корпус элегантный и стильный. Могу сказать что радует глаз. А как лежит в руке: большой, удобный. Компьютеры отходят в прошлое, я к своему давно не подхожу, все  делаю на телефоне. Мобильно и удобно, ведь экран большой и работает быстро. Заряда батареи хватает на целый день. Вот только когда ездил в отпуск, то спасался автомобильным зарядным устройством. Что порадовало, так это то, что аппарат не боится воды. Целее будет. Подсоединил наушники сенхайзер. Звук - огонь. Пока передвигаюсь по городу, я активно слушаю музыку, книжки почитываю, да в социальных сетях пропадаю, а чтоб убить время могу игру запустить. Все прекрасно работает. В отличие от китайских телефонов, в это чувствуется хорошее качество сборки, и смартфон соответствует заявленным характеристикам.
38	positive	Теперь я слушаю классную музыку по наушникам в полном качестве, так как там подавляются шумы и помехи. Веду запись своих треков и при сильном ветре, где и шумно. Очень привлекательный смартфон. Еще ни разу не усомнился в своем выборе.
39	positive	с широкоуголкой снимки получаются изумительными, так как в кадр помещается намного больше объектов чем на обычных камерах. Еще порадовало возможность съемки панорамы 360
40	positive	"Опыт использования: galaxy s3, s4, iphone 4s, 6 plus, lumia 1520
Скажу так сравнивать его с iphone не есть правильно так как это совсем другая история, но из смартфонов на андроид за свои деньги лично для меня это идеальный Смарт ( мной куплен гораздо дешевле). Все самые мощные игры что я установил идут на максимум без лагов и хорошим fps. Что бы я с ним не делал он просто отказывается тупить как все мои андроиды. Им можно управлять устройствами по ик-порту но присутствует офигенная функция копировать пульт любого устройста! Что касается звука мне он сначала не очень понравился из-за отсутствия баксов, но проблему решила установка эквалайзера и тут все стало просто супер ( наушники обычные samsung)
В заключение могу сказать этот Смарт достоен что бы его покупали!"
41	positive	Долго выбирала между Samsung A7(2017) и Leeco, о выборе не жалею, очень довольна! даже на даче связь держит прекрасно, где другие телефоны не ловят, можно спокойно говорить!!! 2 сим-карты- МТС и Билайн!
42	positive	"Звука лучьше нет ни в одном из известных мне смартфонов до 2016г. Я 10 лет продаю телефоны и знаю о чем говорю! За исключением телефонов, где установлен отдельный аудиочип Sabre! Радует что, за такие небольшие деньги появляются такие достойные смарты! 6Гб оперативы мгновенно исполняют мои желания. Камера светосильная и в темноте чувствует себя уверенно! Конечно такие бренды как Самсунг и Айпонт делают снимки намного лучше, но и ценник у них на много выше! 
Вердикт: доволен как слон! РЕКОМЕНДУЮ!!!"
43	positive	Своих денег стоит, рекомендую!
44	positive	Про кнопки громкости и включения, есть легкий люфт, при использовании в чехле, проблема самоустраняется. Сканаер отпечатков срабатывает в среднем за пол секунды, и бывает что не срабвтывает от легкого прикосновения, приходится чуть сильнее надавить, полагаю чтобы большая плоскость пальца была считана. Работа крайне стабильная, все плавно и быстро, 6гб озу это космос, как то специально весь день не закрывал ни одно приложение которым пользовался, и вечером смог спокойно развернуть RealRacing 3, в который начал катать еще утром, игра развернулась, а не перезапустилась, это +. Быстрая зарядка порадовала, но стараюсь не использовать смартфон пока он заряжается, ибо довольно сильно греется, если отключить быструю зарядку, нагрев сильно меньше. Не очень понравился стандартный EUI, поставил Google старт. Рекомендую к приобретению. Ходило много споров по поводу отвала сканера отпечатков пальцев, использую пол месяца, с ним все в порядке, проблем не наблюдаю.
45	positive	Телефон покупался в первую очередь для просмотра фильмов в виртуальных очках, 3 месяца я тестил разные смарты, главное требование это встроенный AC3, чего нет в Samsung, Sony, HTC и т.д. далее разрешение экрана хотелось 2К чтобы пикселей не было видно! Ну и конечно что бы сразу с флешки все воспроизводилось! Наткнулся на этот телефон, ЭТО ПРОСТО ЧУДО! Мой экземпляр в AnTuTu выдал 147000, мой Iphone 6s выдаёт всего 132000! Я очень сильно люблю своё яблоко, но с такими темпами китайцы точно захватят мир, или уже захватили! Как смарт LeEco очень даже крутой, пугает одно: он даже не разу не подвис за 2 месяца использования, а мой 6s бывает подтупливает, затестил камеры: у iphone конечно лучше, но в темноте они видят одинаково!!! Короче берите, лучше телефона за эти деньги я еще не видел.
46	positive	Взал на смену старому доброму самсунгу, камера конечно не как у s7, зато любой фильм со звуком и 6 осевой гироскоп есть!
47	positive	В целом трубкой очень доволен, покупал в ДНС в Красноярске, в ТЦ Красноярье, спасибо продавцу что, отговорил меня от Apple, не жалею что приобрел, действительно более функциональный смарт!
48	positive	До этого был Sony Z5 но там фильмы без звука и он тупил, этот вроде не тупит, дальше посмотрим:)
49	positive	В 2 раза мощьнее honor 8 или на уровне Samsung S7, ваще не тупит, рнкомендую!!!
50	positive	Я не игроман и не папараци. Для фотосессии есть зеркалка, для музыки фирменный плеер, для игр ПК и плэха 4. К чему я это все? Для меня смартфон это в первую очередь связь, во вторых мини-пк, который всегда под рукой и современный смартфон в этом отношении может всё! Автономность достойная похвалы. Кто пишет «могли бы и побольше батарею поставить - купите ДЕКСП или леново на 4-5мАч, так они у Вас раньше дохнуть будут чем этот. У хуавей суперская оптимизация и поэтому 3000 достаточно. Выбирал между онором 8 и нова. Нова меньше, «попа» не стеклянная, параметры примерно одинаковы. Среди этого ценового сегмента явный лидер, но не было возможности поюзать прямого конкурента - zte nubia z11 mini s
51	neutral	Очень хороший аппарат!
52	positive	Кто тут пишет что емкость аккумулятора всего 2000 ? Приложение  AIDA64 дает информацию что батарея установлена на 2920
53	neutral	Хорош да вот с аккумулятором они лукавят! Да и не может он быть большей емкости так как очень тонкий!
54	positive	Хороший телефон, всё нравиться кроме илюзии с оперативной памятью и скоростью wi-fi.
56	positive	В целом покупкой более чем доволен, рекомендую
57	positive	"Пока что не поняла куда девается память (из 32 Гб при покупке уже была занята половина).
Вообще самый большой недостаток - это Гугл. Голосовой поиск входит в диссонанс с микрофоном телефона (т.е. либо будет работать ""окей гугл"", либо я смогу снимать видео). И гугл можно только отключить, но не удалить. Но это минус не смартфона.
Смартфон в целом очень шустрый, яркий, красивый, удобный. Его минусы почти не ощущаются, а вот новые плюсы подмечаю каждый день (пользуюсь 10 дней ). 
Из этой ценовой категории выбирала между Самсунг А3 и Сони ХА1. Самсунг чуть дороже, по функциям ни в какое сравнение с Хуавеем не идет, да и дизайн никакой. Сони тоже чуть дороже, у него дизайн очень красивый, но вот камера значительно хуже Хуавеевской, хотя заявлено 23 Мп! 
Покупкой однозначно довольна"
58	positive	Всем советую этот телефон, он просто идеален в соотношении цена\качество и полностью оправдывает свою цену.
59	positive	У меня было много телефонов разных производителей в пределах от 17 до 30 тысяч,в том числе пользовался айфоном 5 и 5c,для меня Huawei Nova это самый лучший телефон в этой ценовой категории
60	positive	в целом, телефон понравился, приятно лежит в руке, приложения летают, из игр ставил Сан Андреас - шла отлично на максималках. Покупал в Днс за 19300 в самом конце января.
61	positive	Хорошая идея со сменными аккумуляторами - хочешь постоянно висеть в интернете - подойдет батарея на 6900 мач, если просто для звонков - можно менее мощную батарею использовать.
62	neutral	Не советую, не доработанная модель.
63	positive	"Пользуюсь со старта продаж бустами и поменял уже обычный на про версию.
Являюсь заядлым меломаном и имею хорошие наушники ценой сопоставимой с телефоном.
Могу смело заявить что пока нет смартфона играющего лучше. Перепробовал все которые можно достать. За это и верен ему))
Большая батарея которой хватает действительно на долго.
Если вам не важны эти 2 составляющие то в остальном это обычный смарт. Нет ни супер процессоров, ни супер камер, ни всяких оболочек красивых.
Расстраивает скурдный выбор чехлов и защиты на экран. 
До сих пор не выпустили стекла или плёнки которые бы нормально ложились на экран, хотя обещали через месяц после старта продаж (т.е. 1.5 года назад)"
64	positive	"Взял исключительно из-за звука, поскольку сам меломан. Наушники у меня Маршал, в них слышно все до мелочей,у Буста со звучанием все более чем отлично, более того эквалайзер позволяет отрегулировать под себя. В этом вообще к нему претензий нет.
Батарея.Большую устанавливал всего пару раз в поезде, чтобы не бегать к проводнику и не оставлять в тамбуре. Выдержала 2,5 дня,если учесть ее затраты на поиск сети в дороге, то это рекорд.Маленькая живет 1,2-2 дня в постоянном режиме при очень активном использовании телефона, практически всегда интернет,видеозвонки и иногда навигатор. 
Камера. Очень посредственная, однако фронталка для видеозвонков вполне годится. 
Работает смарт на меня вот уже 5 месяцев, пока не подвел. Забыл про плеер!"
